date,lastSyncTime,steps,distance,runDistance,calories
2021-04-05,1617716224,6773,4823,1962,186
2021-04-06,1618181658,1783,1118,146,41
2021-04-07,1618181657,776,484,75,20
2021-04-08,1618181653,908,566,114,26
2021-04-09,1618181659,767,478,80,17
2021-04-10,1618181659,486,303,60,14
2021-04-11,1618257363,3055,1905,181,66
2021-04-12,1618547423,764,477,46,19
2021-04-13,1618547423,580,362,46,16
2021-04-14,1618547421,650,405,64,19
2021-04-15,1618547420,652,407,59,18
2021-04-16,1618642881,1065,664,78,27
2021-04-17,1618715075,15287,10043,335,322
2021-04-18,1618832005,21684,13721,201,440
2021-04-19,1619115859,10924,7053,257,240
2021-04-20,1619115857,11829,7477,238,248
2021-04-21,1619115854,13631,8621,255,279
2021-04-22,1619184835,7538,4906,207,171
2021-04-23,1619355569,12622,8076,286,264
2021-04-24,1619355568,13438,8653,107,283
2021-04-25,1619434556,4228,2711,177,94
2021-04-26,1619963710,456,284,100,13
2021-04-27,1619963710,519,324,50,13
2021-04-28,1619963709,571,356,75,17
2021-04-29,1619963711,455,284,70,12
2021-04-30,1619963710,1239,773,115,31
2021-05-01,1619963711,1861,1161,233,47
2021-05-02,1620058880,454,283,44,9
2021-05-03,1620160760,367,229,25,9
2021-05-04,1620405797,1162,725,106,29
2021-05-05,1620405799,573,357,69,14
2021-05-06,1620405796,378,236,19,10
2021-05-07,1620484812,326,203,78,11
2021-05-08,1621256084,279,174,24,6
2021-05-09,1621255968,1161,724,109,28
2021-05-10,1621255971,463,289,51,12
2021-05-11,1621255974,771,481,64,22
2021-05-12,1621255976,1678,1049,114,36
2021-05-13,1621255977,985,614,76,25
2021-05-14,1621255978,550,343,61,13
2021-05-15,1621256086,1938,1209,70,37
2021-05-16,1621256088,3825,2404,340,84
2021-05-17,1621341140,1322,850,188,31
2021-05-18,1621428832,525,331,39,12
2021-05-19,1621513035,744,467,94,19
2021-05-20,1621695772,2447,1550,126,48
2021-05-21,1621695773,1027,651,117,26
2021-05-22,1621967737,1759,1111,96,36
2021-05-23,1621967737,689,430,109,20
2021-05-24,1621967737,764,477,105,19
2021-05-25,1622206410,1845,1151,125,42
2021-05-26,1622206412,1542,962,99,33
2021-05-27,1622206413,1043,656,125,30
2021-05-28,1623070157,854,533,96,23
2021-05-29,1623070158,2306,1446,117,48
2021-05-30,1623070111,1913,1202,165,44
2021-05-31,1623070115,649,405,69,19
2021-06-01,1623070119,592,369,93,18
2021-06-02,1623070125,898,560,96,22
2021-06-03,1623070129,619,386,84,15
2021-06-04,1623070137,740,462,107,16
2021-06-05,1623070147,1203,752,74,26
2021-06-06,1623070155,849,531,66,19
2021-06-07,1623329705,957,597,54,22
2021-06-08,1623329709,672,419,106,19
2021-06-09,1623329708,678,423,47,15
2021-06-10,1623381106,1050,660,156,28
2021-06-11,1624371680,711,443,107,18
2021-06-12,1624371681,1077,672,61,22
2021-06-13,1624371681,1029,642,81,27
2021-06-14,1624371682,1034,645,123,27
2021-06-15,1624371682,1547,969,146,45
2021-06-16,1624371683,1012,631,100,28
2021-06-17,1624371683,461,288,82,15
2021-06-18,1624371683,257,160,54,8
2021-06-19,1624371684,1592,1021,96,37
2021-06-20,1624371678,2089,1303,129,47
2021-06-21,1624371679,821,512,74,22
2021-06-22,1624550984,776,484,68,21
2021-06-23,1624550985,199,124,22,6
2021-06-24,1625148575,438,273,90,15
2021-06-25,1625148575,331,206,47,10
2021-06-26,1625148572,342,213,32,8
2021-06-27,1625148573,3467,2162,189,67
2021-06-28,1625148573,524,327,58,14
2021-06-29,1625148574,560,349,59,16
2021-06-30,1625148569,359,224,49,11
2021-07-01,1625364025,742,463,147,20
2021-07-02,1625364026,890,555,130,22
2021-07-03,1625368011,2090,1315,106,45
