date,lastSyncTime,deepSleepTime,shallowSleepTime,wakeTime,start,stop
2021-04-05,1617716224,88,224,6,1617598740,1617624120
2021-04-06,1618181658,44,271,1,1617689100,1617711060
2021-04-07,1618181657,75,299,1,1617771960,1617798480
2021-04-08,1618181653,48,323,1,1617858180,1617884820
2021-04-09,1618181659,40,234,24,1617950700,1617971880
2021-04-10,1618181659,118,368,2,1618029900,1618063080
2021-04-11,1618257363,110,308,13,1618119480,1618149900
2021-04-12,1618547423,86,164,17,1618207740,1618227060
2021-04-13,1618547423,87,242,12,1618295100,1618317600
2021-04-14,1618547421,95,316,0,1618375860,1618403880
2021-04-15,1618547420,90,259,5,1618465800,1618488120
2021-04-16,1618642881,108,228,27,1618546440,1618576380
2021-04-17,1618715075,28,115,0,1618633260,1618642440
2021-04-18,1618832005,47,323,0,1618715460,1618742580
2021-04-19,1619115859,77,227,0,1618804200,1618826280
2021-04-20,1619115857,62,365,6,1618887720,1618918980
2021-04-21,1619115854,77,244,1,1618981260,1619005500
2021-04-22,1619184835,81,335,17,1619060280,1619091660
2021-04-23,1619355569,63,251,6,1619151720,1619174940
2021-04-24,1619355568,36,283,0,1619239560,1619261100
2021-04-25,1619434556,68,254,6,1619324040,1619348220
2021-04-26,1619963710,72,391,12,1619402820,1619438160
2021-04-27,1619963710,60,222,0,1619499120,1619522160
2021-04-28,1619963709,90,269,5,1619584380,1619612340
2021-04-29,1619963711,46,303,1,1619669820,1619698320
2021-04-30,1619963710,90,293,1,1619757240,1619785500
2021-05-01,1619963711,28,190,0,1619840940,1619857320
2021-05-02,1620058880,92,302,5,1619927880,1619956920
2021-05-03,1620160760,79,313,0,1620016680,1620043800
2021-05-04,1620405797,28,112,0,1620119880,1620130500
2021-05-05,1620405799,99,214,66,1620187320,1620216840
2021-05-06,1620405796,62,263,0,1620279240,1620303840
2021-05-07,1620484812,25,176,2,1620373320,1620390660
2021-05-08,1621256084,108,404,0,1620450600,1620484800
2021-05-09,1621255968,53,202,0,1620556440,1620574140
2021-05-10,1621255971,27,173,59,1620626100,1620647640
2021-05-11,1621255974,35,269,0,1620711660,1620733200
2021-05-12,1621255976,92,248,25,1620798000,1620824400
2021-05-13,1621255977,68,302,0,1620879720,1620907920
2021-05-14,1621255978,88,245,0,1620964740,1620990720
2021-05-15,1621256086,65,371,0,1621056240,1621084500
2021-05-16,1621256088,92,290,0,1621140840,1621168200
2021-05-17,1621341140,49,246,24,1621228980,1621254180
2021-05-18,1621428832,61,375,2,1621308180,1621340880
2021-05-19,1621513035,69,230,16,1621407600,1621428240
2021-05-20,1621695772,84,353,3,1621481820,1621513080
2021-05-21,1621695773,33,300,59,1621570560,1621597740
2021-05-22,1621967737,90,372,22,1621656420,1621691640
2021-05-23,1621967737,101,339,0,1621750200,1621782300
2021-05-24,1621967737,73,362,24,1621829700,1621863660
2021-05-25,1622206410,157,478,2,1621908120,1621950420
2021-05-26,1622206412,51,226,0,1622008200,1622028960
2021-05-27,1622206413,56,241,96,1622084820,1622117400
2021-05-28,1623070157,48,333,1,1622179140,1622205660
2021-05-29,1623070158,91,264,4,1622268960,1622294220
2021-05-30,1623070111,81,390,1,1622353440,1622385240
2021-05-31,1623070115,37,352,2,1622436900,1622463720
2021-06-01,1623070119,51,267,3,1622528100,1622551620
2021-06-02,1623070125,59,203,5,1622613720,1622631600
2021-06-03,1623070129,53,253,1,1622700360,1622721120
2021-06-04,1623070137,51,134,0,1622792160,1622806980
2021-06-05,1623070147,93,292,16,1622867040,1622900100
2021-06-06,1623070155,61,331,0,1622956980,1622984760
2021-06-07,1623329705,55,194,2,1623049980,1623069420
2021-06-08,1623329709,108,219,2,1623134640,1623156840
2021-06-09,1623329708,88,281,4,1623216660,1623241680
2021-06-10,1623381106,122,321,7,1623291780,1623328860
2021-06-11,1624371680,35,246,126,1623382740,1623416640
2021-06-12,1624371681,82,245,0,1623483120,1623507840
2021-06-13,1624371681,110,339,48,1623564900,1623600300
2021-06-14,1624371682,45,199,7,1623654960,1623673800
2021-06-15,1624371682,78,284,3,1623737580,1623762000
2021-06-16,1624371683,60,368,0,1623817980,1623845700
2021-06-17,1624371683,53,245,2,1623910140,1623934020
2021-06-18,1624371683,63,184,10,1624002960,1624021740
2021-06-19,1624371684,98,279,1,1624092360,1624118760
2021-06-20,1624371678,63,282,24,1624161540,1624190040
2021-06-21,1624371679,87,306,2,1624251180,1624279560
2021-06-22,1624550984,63,275,2,1624338660,1624362060
2021-06-23,1624550985,83,327,7,1624422720,1624452480
2021-06-24,1625148575,83,224,47,1624510680,1624539720
2021-06-25,1625148575,46,166,8,1624608120,1624624680
2021-06-26,1625148572,91,250,0,1624683840,1624709040
2021-06-27,1625148573,74,210,35,1624785600,1624810260
2021-06-28,1625148573,48,192,11,1624864620,1624882080
2021-06-29,1625148574,72,233,6,1624950360,1624971420
2021-06-30,1625148569,16,283,118,1625025120,1625060160
2021-07-01,1625364025,65,247,2,1625118420,1625141880
2021-07-02,1625364026,46,473,19,1625188920,1625228880
2021-07-03,1625368011,103,252,51,1625298060,1625328120
